from	to	TCGA-2Z-A9J5-01A	TCGA-2Z-A9JT-01A	TCGA-4A-A93X-01A
m00018c	m00017c	1.78881320338072	1.39466403003618	2.20557538061759
m00018c	m00018p	2.66553192210608	2.71758928576242	2.69628686907174
m00018c	m00447c	1.59810940842488	1.41958486938122	2.52918096331373
m00018c	m01285c	2.66553192210608	2.71758928576242	2.69628686907174
m00018c	m01776c	1.38060243455233	1.07190519368499	1.02105335153605
m00018m	m01776m	4.26433185405952	4.0821046523365	4.17779226859621
m00018m	m03014m	4.63742991598913	3.75484703596936	4.17573221026376
m00018p	m03014p	3.10677422418224	2.74446000793594	2.9623408637705
m00018r	m01463r	2.01196620479113	1.97874880598003	1.95790483014981
m00018r	m01776r	4.70321223766271	4.7844250134471	4.84460644840618
m00019c	m00019s	2.79217205690509	1.85018426996818	1.75925130729964
m00019c	m00020c	1.73425127731126	1.44838920252172	1.84410054144021
m00019c	m01285c	2.79217205690509	1.85018426996818	1.75925130729964
m00019r	m00020r	1.73425127731126	1.44838920252172	1.84410054144021
m00019s	m00019c	1.94176283507826	1.75803598757802	1.37786848138935
m00020c	m00019c	1.78881320338072	1.39466403003618	2.20557538061759
m00020c	m00115c	1.73425127731126	1.44838920252172	1.84410054144021
m00020c	m00448c	1.59810940842488	1.41958486938122	2.52918096331373
m00020c	m02639c	1.38060243455233	1.07190519368499	1.02105335153605
m00020m	m01261m	5.54500410557102	4.89804968913277	5.26493041316481
m00020m	m02639m	4.26433185405952	4.0821046523365	4.17779226859621
m00020r	m01464r	2.01196620479113	1.97874880598003	1.95790483014981
m00020r	m02639r	4.70321223766271	4.7844250134471	4.84460644840618
m00021c	m00021s	2.79217205690509	1.85018426996818	1.75925130729964
m00021c	m00023c	1.73425127731126	1.44838920252172	1.84410054144021
m00021c	m01285c	2.79217205690509	1.85018426996818	1.75925130729964
m00021r	m00023r	1.73425127731126	1.44838920252172	1.84410054144021
m00021s	m00021c	1.94176283507826	1.75803598757802	1.37786848138935
m00022c	m00022m	1.86786743183915	1.29545683972447	1.96539712531874
m00022c	m00022r	4.06598386541363	2.19137348968327	3.57242962554198
m00022c	m02348c	5.93385129725278	3.48683032940774	5.53782675086072
m00023c	m00021c	1.78881320338072	1.39466403003618	2.20557538061759
m00023c	m00022c	1.38060243455233	1.07190519368499	1.02105335153605
m00023c	m00445c	1.59810940842488	1.41958486938122	2.52918096331373
m00023m	m00022m	4.26433185405952	4.0821046523365	4.17779226859621
m00023m	m01261m	5.54500410557102	4.89804968913277	5.26493041316481
m00023r	m00022r	4.70321223766271	4.7844250134471	4.84460644840618
m00023r	m01461r	2.01196620479113	1.97874880598003	1.95790483014981
m00024c	m00024r	4.06598386541363	2.19137348968327	3.57242962554198
m00024c	m02348c	4.06598386541363	2.19137348968327	3.57242962554198
m00025c	m00024c	1.38060243455233	1.07190519368499	1.02105335153605
m00025c	m00025p	3.03984651454894	2.74735423473542	2.33612144414496
m00025c	m00449c	1.59810940842488	1.41958486938122	2.52918096331373
m00025c	m00879c	2.02729239472741	1.62230835919174	2.16070539811187
m00025c	m02564c	3.52306448069198	2.8430532325579	4.0496759220578
m00025p	m03015p	3.10677422418224	2.74446000793594	2.9623408637705
m00025r	m00024r	4.70321223766271	4.7844250134471	4.84460644840618
m00025r	m01465r	2.01196620479113	1.97874880598003	1.95790483014981
m00025r	m02564r	1.73425127731126	1.44838920252172	1.84410054144021
m00026m	m00581m	6.56147160988933	5.81840768164339	6.58862661365426
m00026p	m00581p	5.51411655351176	5.15953103791878	5.34927729112277
m00027p	m00419p	5.51411655351176	5.15953103791878	5.34927729112277
m00028c	m01056c	3.53345860634711	3.29035383944594	2.73602557180527
m00029c	m01056c	3.53345860634711	3.29035383944594	2.73602557180527
m00032c	m00031c	3.13488164363172	2.63285588647661	2.52622675896782
m00032c	m00243c	6.12565528555579	5.70621417257733	7.9225491228244
m00034c	m00033c	3.13488164363172	2.63285588647661	2.52622675896782
m00034c	m00243c	6.12565528555579	5.70621417257733	7.9225491228244
m00035c	m01416c	0.344344905853804	0.323966255821414	4.63969664142712
m00035m	m01416m	0.344344905853804	0.323966255821414	4.63969664142712
m00036m	m00748m	5.89473636259262	5.75525811243431	5.62267826542738
m00036p	m00748p	4.1778800860066	2.97008556937432	4.6859705959312
m00037p	m00754p	4.1778800860066	2.97008556937432	4.6859705959312
m00038c	m01649c	2.65606971469087	2.10214150468791	4.22717682725264
m00039m	m00181m	6.56147160988933	5.81840768164339	6.58862661365426
m00039m	m03035m	5.25749109874497	5.65123370886456	5.14467026486315
m00039p	m00181p	5.51411655351176	5.15953103791878	5.34927729112277
m00039p	m03035p	5.51411655351176	5.15953103791878	5.34927729112277
m00040c	m01725c	2.42797899034791	2.46391027189555	2.32849246406115
m00040m	m00776m	6.56147160988933	5.81840768164339	6.58862661365426
m00040p	m00776p	5.51411655351176	5.15953103791878	5.34927729112277
m00041c	m01728c	2.65606971469087	2.10214150468791	4.22717682725264
m00042m	m00088m	6.10717482267055	6.30057524467813	5.89378290302595
m00042m	m00099m	6.10717482267055	6.30057524467813	5.89378290302595
m00042m	m00174m	6.56147160988933	5.81840768164339	6.58862661365426
m00042p	m00088p	5.51411655351176	5.15953103791878	5.34927729112277
m00042p	m00099p	5.51411655351176	5.15953103791878	5.34927729112277
m00042p	m00174p	5.51411655351176	5.15953103791878	5.34927729112277
m00043c	m01773c	2.42797899034791	2.46391027189555	2.32849246406115
m00043m	m00777m	6.56147160988933	5.81840768164339	6.58862661365426
m00043p	m00777p	5.51411655351176	5.15953103791878	5.34927729112277
m00044c	m02052c	2.42797899034791	2.46391027189555	2.32849246406115
m00044m	m00778m	6.56147160988933	5.81840768164339	6.58862661365426
m00045c	m02099c	2.65606971469087	2.10214150468791	4.22717682725264
m00046m	m00780m	6.56147160988933	5.81840768164339	6.58862661365426
m00047c	m02106c	2.65606971469087	2.10214150468791	4.22717682725264
m00048m	m00782m	6.56147160988933	5.81840768164339	6.58862661365426
m00049c	m02110c	2.42797899034791	2.46391027189555	2.32849246406115
m00049p	m00783p	5.51411655351176	5.15953103791878	5.34927729112277
m00050c	m02115c	2.65606971469087	2.10214150468791	4.22717682725264
m00051m	m00175m	6.56147160988933	5.81840768164339	6.58862661365426
m00051p	m00175p	5.51411655351176	5.15953103791878	5.34927729112277
m00052c	m02121c	2.65606971469087	2.10214150468791	4.22717682725264
m00053m	m00182m	6.56147160988933	5.81840768164339	6.58862661365426
m00053p	m00182p	5.51411655351176	5.15953103791878	5.34927729112277
m00054c	m02612c	2.42797899034791	2.46391027189555	2.32849246406115
m00054m	m00790m	6.56147160988933	5.81840768164339	6.58862661365426
m00055c	m02615c	2.65606971469087	2.10214150468791	4.22717682725264
