Rxn.name	Gene.reaction.association
HMR_6558	ENSG00000132958 or ENSG00000171862
HMR_6559	ENSG00000101333 or ENSG00000114805 or ENSG00000115556 or ENSG00000115896 or ENSG00000124181 or ENSG00000137841 or ENSG00000138193 or ENSG00000139151 or ENSG00000149527 or ENSG00000149782 or ENSG00000154822 or ENSG00000161714 or ENSG00000182621 or ENSG00000187091 or ENSG00000197943 or ENSG00000240891
HMR_6560	ENSG00000068383 or ENSG00000132376 or ENSG00000185133
HMR_6561	ENSG00000151689
HMR_6562	ENSG00000104331 or ENSG00000133731 or ENSG00000141401
HMR_6563	ENSG00000086544 or ENSG00000137825 or ENSG00000143772
HMR_6564	ENSG00000107789
HMR_6565	ENSG00000068383 or ENSG00000132376 or ENSG00000168918 or ENSG00000185133
HMR_6566	ENSG00000100605
HMR_6567	ENSG00000100605
HMR_6568	ENSG00000151151
HMR_6569	ENSG00000151689
HMR_6570	ENSG00000040933 or ENSG00000109452
HMR_6571	ENSG00000104331 or ENSG00000133731 or ENSG00000141401
HMR_6572	ENSG00000105655
HMR_6573	ENSG00000151151
HMR_6574	ENSG00000151151
HMR_6575	ENSG00000100605
HMR_6576	ENSG00000127080
HMR_6579	ENSG00000107242 or ENSG00000143398 or ENSG00000167103 or ENSG00000186111
HMR_6580	ENSG00000107242 or ENSG00000143398 or ENSG00000167103 or ENSG00000186111
HMR_6581	ENSG00000107242 or ENSG00000143398 or ENSG00000167103 or ENSG00000186111
HMR_6583	ENSG00000132958 or ENSG00000171862
HMR_6584	ENSG00000132958 or ENSG00000171862
HMR_6585	ENSG00000132958 or ENSG00000171862
HMR_6587	ENSG00000078142
HMR_6588	ENSG00000078142
HMR_6589	ENSG00000078142
HMR_6591	ENSG00000003987 or ENSG00000054148 or ENSG00000063601 or ENSG00000087053 or ENSG00000102043 or ENSG00000111077 or ENSG00000111696 or ENSG00000112367 or ENSG00000117598 or ENSG00000125458 or ENSG00000126821 or ENSG00000137770 or ENSG00000139304 or ENSG00000139505 or ENSG00000144048 or ENSG00000158079 or ENSG00000160539 or ENSG00000163082 or ENSG00000163719 or ENSG00000165458 or ENSG00000165688 or ENSG00000198825 or ENSG00000205309 or ENSG00000205808 or ENSG00000211456 or ENSG00000213920
HMR_6592	ENSG00000107242 or ENSG00000143398 or ENSG00000167103 or ENSG00000186111
HMR_6595	ENSG00000107242 or ENSG00000143398 or ENSG00000167103 or ENSG00000186111
HMR_7652	ENSG00000068745 or ENSG00000145725 or ENSG00000161896 or ENSG00000168781 or ENSG00000176095
HMR_7654	ENSG00000068745 or ENSG00000145725 or ENSG00000161896 or ENSG00000168781 or ENSG00000176095
HMR_7655	ENSG00000122824 or ENSG00000173598 or ENSG00000196368 or ENSG00000272325
HMR_7656	ENSG00000145725 or ENSG00000168781
HMR_8799	ENSG00000151151
HMR_8800	ENSG00000151151
HMR_8801	
HMR_8802	ENSG00000171100
HMR_8803	ENSG00000151151
HMR_8804	ENSG00000151151
HMR_8805	ENSG00000151151
HMR_8806	
HMR_8807	ENSG00000171862
HMR_8808	ENSG00000165458 or ENSG00000168918
HMR_8809	ENSG00000171100
HMR_8810	ENSG00000040933 or ENSG00000109452
HMR_8811	ENSG00000107242 or ENSG00000143398 or ENSG00000167103 or ENSG00000186111
HMR_8812	ENSG00000171100
HMR_8813	ENSG00000107242 or ENSG00000143398 or ENSG00000167103 or ENSG00000186111
HMR_8814	ENSG00000107242 or ENSG00000143398 or ENSG00000167103 or ENSG00000186111
HMR_8815	ENSG00000107242 or ENSG00000143398 or ENSG00000167103 or ENSG00000186111
HMR_8816	ENSG00000051382 or ENSG00000105851 or ENSG00000121879 or ENSG00000171608
HMR_8817	ENSG00000078269 or ENSG00000122126 or ENSG00000148384 or ENSG00000159082 or ENSG00000204084
HMR_8818	ENSG00000101333 or ENSG00000115556 or ENSG00000124181 or ENSG00000137841 or ENSG00000138193 or ENSG00000139151 or ENSG00000149782 or ENSG00000161714 or ENSG00000182621 or ENSG00000187091 or ENSG00000197943
HMR_8819	(ENSG00000011405 and ENSG00000133056) or ENSG00000139144
HMR_8820	
HMR_8821	ENSG00000107242 or ENSG00000143398 or ENSG00000167103 or ENSG00000186111
HMR_8822	ENSG00000101333 or ENSG00000114805 or ENSG00000115556 or ENSG00000115896 or ENSG00000124181 or ENSG00000137841 or ENSG00000138193 or ENSG00000139151 or ENSG00000149527 or ENSG00000149782 or ENSG00000154822 or ENSG00000161714 or ENSG00000182621 or ENSG00000187091 or ENSG00000197943 or ENSG00000240891
HMR_8823	ENSG00000182621
HMR_8824	ENSG00000078142
HMR_8825	(ENSG00000011405 and ENSG00000133056) or ENSG00000139144
HMR_8826	ENSG00000150867 or ENSG00000166908 or ENSG00000276293
HMR_8827	(ENSG00000011405 and ENSG00000133056) or ENSG00000139144
HMR_8829	ENSG00000078142
HMR_8830	ENSG00000038210 or ENSG00000143393 or ENSG00000155252 or ENSG00000241973 or ENSG00000281028
HMR_8831	ENSG00000107242 or ENSG00000143398 or ENSG00000167103 or ENSG00000186111
HMR_8833	ENSG00000182621
HMR_8835	ENSG00000068745 or ENSG00000145725 or ENSG00000161896 or ENSG00000168781 or ENSG00000176095
HMR_8836	ENSG00000068745 or ENSG00000145725 or ENSG00000161896 or ENSG00000168781 or ENSG00000176095
HMR_3923	ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445
HMR_3925	ENSG00000151552
HMR_3929	ENSG00000160282
HMR_3972	
HMR_4332	ENSG00000178700 or ENSG00000228716
HMR_4333	ENSG00000178700 or ENSG00000228716
HMR_4335	ENSG00000178700 or ENSG00000228716
HMR_4336	ENSG00000136010 or ENSG00000144908
HMR_4338	ENSG00000100714
HMR_4340	ENSG00000065911 or ENSG00000120254 or ENSG00000163738
HMR_4440	ENSG00000065911 or ENSG00000163738
HMR_4442	ENSG00000100714
HMR_4444	ENSG00000065911 or ENSG00000100714 or ENSG00000120254
HMR_4446	ENSG00000177000
HMR_4448	ENSG00000177000
HMR_4503	ENSG00000100714
HMR_4505	ENSG00000065911 or ENSG00000120254 or ENSG00000163738
HMR_4654	ENSG00000178700 or ENSG00000228716
HMR_4655	ENSG00000178700 or ENSG00000228716
HMR_4656	ENSG00000178700 or ENSG00000228716
HMR_4665	ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445
HMR_9726	ENSG00000160282
HMR_4666	ENSG00000136371
HMR_7145	ENSG00000124615
HMR_7146	ENSG00000164172
HMR_7147	ENSG00000171723
HMR_7908	ENSG00000136877
HMR_7909	ENSG00000136877
HMR_7910	ENSG00000136877
HMR_7911	ENSG00000136877
HMR_7912	ENSG00000136877
HMR_7913	ENSG00000136877
HMR_7916	ENSG00000137563
HMR_7919	ENSG00000137563
HMR_7920	ENSG00000137563
HMR_7921	ENSG00000137563
HMR_7922	ENSG00000137563
HMR_7925	ENSG00000137563
HMR_8105	ENSG00000136877
HMR_8106	ENSG00000136877
HMR_8107	ENSG00000136877
HMR_8108	ENSG00000136877
HMR_8109	ENSG00000136877
HMR_8110	ENSG00000136877
HMR_8112	ENSG00000136877
HMR_8113	ENSG00000136877
HMR_8114	ENSG00000136877
HMR_8115	ENSG00000136877
HMR_8116	ENSG00000136877
HMR_8117	ENSG00000136877
HMR_8129	ENSG00000137563
HMR_8130	ENSG00000137563
HMR_8132	ENSG00000137563
HMR_8133	ENSG00000137563
HMR_8135	ENSG00000137563
HMR_8136	ENSG00000137563
HMR_8137	ENSG00000137563
HMR_8138	ENSG00000137563
HMR_8139	ENSG00000137563
HMR_8140	ENSG00000137563
HMR_8141	ENSG00000137563
HMR_8142	ENSG00000137563
HMR_8143	ENSG00000136371
HMR_8144	ENSG00000100714
HMR_8758	ENSG00000136010 or ENSG00000144908
HMR_7661	ENSG00000169814
HMR_7662	ENSG00000169814
HMR_7663	ENSG00000169814
HMR_7668	ENSG00000159267
HMR_7669	
HMR_7670	ENSG00000159267
HMR_7671	
HMR_7672	ENSG00000076555 or ENSG00000278540
HMR_7673	ENSG00000076555 or ENSG00000278540
HMR_4160	ENSG00000131979
HMR_4162	ENSG00000131979
HMR_4163	ENSG00000150787
HMR_4165	ENSG00000116096
HMR_4166	ENSG00000116096
HMR_4167	ENSG00000116096
HMR_4169	ENSG00000131979
HMR_4170	ENSG00000131979
HMR_4523	ENSG00000151552
HMR_4539	ENSG00000132570 or ENSG00000166228
HMR_4540	ENSG00000132570 or ENSG00000166228
HMR_4541	ENSG00000132570 or ENSG00000166228
HMR_4542	ENSG00000132570 or ENSG00000166228
HMR_4543	ENSG00000132570 or ENSG00000166228
HMR_4544	ENSG00000132570 or ENSG00000166228
HMR_4816	ENSG00000162551 or ENSG00000163283 or ENSG00000163286 or ENSG00000163295
HMR_4817	ENSG00000131979
HMR_4818	ENSG00000131979
HMR_4833	ENSG00000131979
HMR_4834	ENSG00000131979
HMR_4835	ENSG00000131979
HMR_4836	ENSG00000131979
HMR_8538	ENSG00000132570 or ENSG00000166228
HMR_8738	ENSG00000150787
HMR_8739	ENSG00000116096
HMR_8740	
HMR_6393	
HMR_6394	
HMR_6396	ENSG00000023572 or ENSG00000173221
HMR_6405	ENSG00000107798 or ENSG00000170835
HMR_8345	
HMR_8346	ENSG00000130988
HMR_8348	
HMR_8349	ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904
HMR_8619	
HMR_8620	
HMR_8621	
HMR_8622	
HMR_8623	
HMR_8624	
HMR_8625	
HMR_3991	ENSG00000047457 or ENSG00000163755 or ENSG00000165060 or ENSG00000167996 or ENSG00000181867
HMR_4657	ENSG00000023330 or ENSG00000158578 or ENSG00000178773
HMR_4744	ENSG00000148218
HMR_4746	ENSG00000256269
HMR_4748	ENSG00000188690
HMR_4750	ENSG00000126088
HMR_4752	ENSG00000080819
HMR_4755	ENSG00000143224
HMR_4757	ENSG00000143224
HMR_4758	ENSG00000066926
HMR_4762	ENSG00000004961
HMR_4763	ENSG00000100292 or ENSG00000103415
HMR_4764	ENSG00000090013 or ENSG00000106605
HMR_4768	
HMR_4769	
HMR_4770	
HMR_4771	
HMR_4772	ENSG00000126088
HMR_4773	
HMR_6395	ENSG00000071967
HMR_8634	ENSG00000090013 or ENSG00000106605
HMR_9717	
HMR_6630	ENSG00000072042 or ENSG00000073737 or ENSG00000080511 or ENSG00000121039 or ENSG00000139988 or ENSG00000162496
HMR_6631	ENSG00000025423 or ENSG00000135437 or ENSG00000147576 or ENSG00000170786 or ENSG00000172955 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144
HMR_6632	ENSG00000072042 or ENSG00000073737 or ENSG00000080511 or ENSG00000121039 or ENSG00000139988 or ENSG00000162496
HMR_6633	ENSG00000025423 or ENSG00000135437 or ENSG00000147576 or ENSG00000170786 or ENSG00000172955 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144
HMR_6634	ENSG00000095596
HMR_6635	ENSG00000062282 or ENSG00000114113 or ENSG00000114115 or ENSG00000121207 or ENSG00000147160 or ENSG00000185000 or ENSG00000204195
HMR_6636	ENSG00000006757 or ENSG00000079435 or ENSG00000100344 or ENSG00000101670 or ENSG00000114771 or ENSG00000134780 or ENSG00000138207 or ENSG00000159398 or ENSG00000164535 or ENSG00000166035 or ENSG00000170835 or ENSG00000172828 or ENSG00000172831 or ENSG00000175535 or ENSG00000177666 or ENSG00000182333 or ENSG00000187021 or ENSG00000198848 or ENSG00000203837 or ENSG00000266200
HMR_6637	ENSG00000116745
HMR_6638	ENSG00000025423 or ENSG00000135437 or ENSG00000139547 or ENSG00000140522 or ENSG00000157326 or ENSG00000170786 or ENSG00000187630 or ENSG00000265203
HMR_6639	ENSG00000062282 or ENSG00000114113 or ENSG00000114115 or ENSG00000121207 or ENSG00000147160 or ENSG00000185000 or ENSG00000204195
HMR_6640	ENSG00000163684 or ENSG00000244486
HMR_6641	ENSG00000003137
HMR_6642	ENSG00000003137
HMR_6643	ENSG00000114113 or ENSG00000114115
HMR_6644	ENSG00000025423 or ENSG00000135437 or ENSG00000139547 or ENSG00000140522 or ENSG00000157326 or ENSG00000170786 or ENSG00000187630 or ENSG00000265203
HMR_6645	ENSG00000114113 or ENSG00000114115
HMR_6646	ENSG00000128918 or ENSG00000165092
HMR_6647	ENSG00000128918 or ENSG00000165092
HMR_6648	ENSG00000140505
HMR_6649	ENSG00000140505
HMR_6650	ENSG00000114113 or ENSG00000114115
HMR_6651	ENSG00000114113 or ENSG00000114115
HMR_6652	ENSG00000128918 or ENSG00000165092
HMR_6653	ENSG00000140505
HMR_6654	ENSG00000140505
HMR_6655	ENSG00000140505
HMR_6656	ENSG00000140505
HMR_6657	ENSG00000021461 or ENSG00000100197 or ENSG00000106258 or ENSG00000108242 or ENSG00000130649 or ENSG00000134716 or ENSG00000137869 or ENSG00000138061 or ENSG00000138109 or ENSG00000138115 or ENSG00000140465 or ENSG00000140505 or ENSG00000142973 or ENSG00000155016 or ENSG00000160868 or ENSG00000160870 or ENSG00000165841 or ENSG00000167600 or ENSG00000171903 or ENSG00000186160 or ENSG00000186204 or ENSG00000186377 or ENSG00000186526 or ENSG00000197408 or ENSG00000197446 or ENSG00000197838 or ENSG00000198077 or ENSG00000255974
HMR_6658	ENSG00000021461 or ENSG00000100197 or ENSG00000106258 or ENSG00000108242 or ENSG00000130649 or ENSG00000134716 or ENSG00000137869 or ENSG00000138061 or ENSG00000138109 or ENSG00000138115 or ENSG00000140465 or ENSG00000140505 or ENSG00000142973 or ENSG00000155016 or ENSG00000160868 or ENSG00000160870 or ENSG00000165841 or ENSG00000167600 or ENSG00000171903 or ENSG00000186160 or ENSG00000186204 or ENSG00000186377 or ENSG00000186526 or ENSG00000197408 or ENSG00000197446 or ENSG00000197838 or ENSG00000198077 or ENSG00000255974
HMR_6659	
HMR_6660	
HMR_6661	ENSG00000134184
HMR_6662	
HMR_6663	
HMR_6664	ENSG00000003137
HMR_6665	ENSG00000003137
HMR_6666	ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000240224 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000243135 or ENSG00000244122 or ENSG00000244474
HMR_6667	ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000240224 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000243135 or ENSG00000244122 or ENSG00000244474
HMR_6668	ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000240224 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000243135 or ENSG00000244122 or ENSG00000244474
HMR_6669	ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000240224 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000243135 or ENSG00000244122 or ENSG00000244474
HMR_6670	ENSG00000087076 or ENSG00000099377 or ENSG00000100867 or ENSG00000109854 or ENSG00000121039 or ENSG00000138400 or ENSG00000139988 or ENSG00000145439 or ENSG00000159692 or ENSG00000160439 or ENSG00000164039 or ENSG00000167733 or ENSG00000170426 or ENSG00000170786 or ENSG00000176387 or ENSG00000183921 or ENSG00000184860 or ENSG00000186153 or ENSG00000187134 or ENSG00000197894 or ENSG00000198074 or ENSG00000198189 or ENSG00000198610 or ENSG00000204228 or ENSG00000227471 or ENSG00000240857
HMR_6671	ENSG00000062282 or ENSG00000121207 or ENSG00000147160 or ENSG00000185000 or ENSG00000204195
HMR_6672	
HMR_6673	
HMR_6674	ENSG00000128918 or ENSG00000165092
HMR_6675	ENSG00000128918 or ENSG00000165092
HMR_6676	ENSG00000128918 or ENSG00000165092
HMR_6677	ENSG00000095596
HMR_6678	ENSG00000095596
HMR_6679	ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000240224 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000243135 or ENSG00000244122 or ENSG00000244474
HMR_6680	ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000240224 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000243135 or ENSG00000244122 or ENSG00000244474
HMR_6681	ENSG00000003137
HMR_6682	ENSG00000003137
HMR_6683	ENSG00000003137
HMR_6684	ENSG00000003137
HMR_6685	ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000240224 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000243135 or ENSG00000244122 or ENSG00000244474
HMR_6686	ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000240224 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000243135 or ENSG00000244122 or ENSG00000244474
HMR_6687	ENSG00000003137
HMR_6690	
HMR_6691	
HMR_6692	
HMR_6693	
HMR_6694	
HMR_6695	
HMR_6697	
HMR_6699	
HMR_6700	ENSG00000095596
HMR_6701	ENSG00000095596
HMR_6702	ENSG00000003137
HMR_6703	ENSG00000003137
HMR_6704	ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000240224 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000243135 or ENSG00000244122 or ENSG00000244474
HMR_6705	ENSG00000109181 or ENSG00000135220 or ENSG00000135226 or ENSG00000145626 or ENSG00000156096 or ENSG00000167165 or ENSG00000168671 or ENSG00000171234 or ENSG00000173610 or ENSG00000196620 or ENSG00000197888 or ENSG00000213759 or ENSG00000240224 or ENSG00000241119 or ENSG00000241635 or ENSG00000242366 or ENSG00000242515 or ENSG00000243135 or ENSG00000244122 or ENSG00000244474
HMR_8697	ENSG00000135697
HMR_8698	
HMR_8699	
HMR_8700	ENSG00000134716 or ENSG00000138109 or ENSG00000138115
HMR_8702	
HMR_8703	
HMR_8704	
HMR_8706	
HMR_8709	ENSG00000025423 or ENSG00000135437 or ENSG00000139547 or ENSG00000140522 or ENSG00000157326 or ENSG00000170786 or ENSG00000187630 or ENSG00000265203
HMR_8710	ENSG00000135437
HMR_8711	
HMR_8712	
HMR_8713	ENSG00000241635 or ENSG00000242366 or ENSG00000242515
HMR_8717	ENSG00000241635 or ENSG00000242366 or ENSG00000242515
HMR_6506	ENSG00000135002
HMR_6507	ENSG00000014257 or ENSG00000102575 or ENSG00000142513 or ENSG00000143727 or ENSG00000155893 or ENSG00000162836 or ENSG00000183760
HMR_6508	ENSG00000160688 or ENSG00000163352
HMR_6509	ENSG00000154269 or ENSG00000197594
HMR_6510	
HMR_6511	ENSG00000090013
HMR_4537	ENSG00000129167 or ENSG00000139287
HMR_4545	ENSG00000132437
HMR_4546	ENSG00000129673
HMR_4547	ENSG00000196433
HMR_4548	ENSG00000138061 or ENSG00000140465 or ENSG00000140505
HMR_4549	ENSG00000070614 or ENSG00000111962 or ENSG00000115526 or ENSG00000124302 or ENSG00000130540 or ENSG00000135702 or ENSG00000136720 or ENSG00000138653 or ENSG00000140835 or ENSG00000147119 or ENSG00000153936 or ENSG00000154080 or ENSG00000154252 or ENSG00000164100 or ENSG00000166507 or ENSG00000171004 or ENSG00000173597 or ENSG00000175040 or ENSG00000175229 or ENSG00000183196 or ENSG00000185352 or ENSG00000197093 or ENSG00000198075 or ENSG00000198203 or ENSG00000261052 or ENSG00000272916
HMR_4550	ENSG00000131203 or ENSG00000188676
HMR_4551	
HMR_4552	
HMR_4553	
HMR_4554	
HMR_4555	ENSG00000241644
HMR_4556	ENSG00000241644
HMR_4557	ENSG00000131203 or ENSG00000188676
HMR_4558	ENSG00000069535 or ENSG00000189221
HMR_4559	ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904
HMR_4560	ENSG00000138356
HMR_4561	ENSG00000147576 or ENSG00000172955 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144
HMR_4563	ENSG00000093010 or ENSG00000184154 or ENSG00000284844
HMR_4564	ENSG00000196433
HMR_4204	ENSG00000196511
HMR_4206	ENSG00000196511
HMR_4207	ENSG00000259431
HMR_4208	ENSG00000135778
HMR_8744	ENSG00000135778
HMR_8746	(ENSG00000131828 and ENSG00000168291) or (ENSG00000163114 and ENSG00000168291)
HMR_8748	
HMR_8613	
HMR_8615	ENSG00000139428 or ENSG00000151611
HMR_8616	ENSG00000139428 or ENSG00000151611
HMR_4064	ENSG00000100092 or ENSG00000100101 or ENSG00000144362 or ENSG00000213160 or ENSG00000241360
HMR_4065	ENSG00000160209
HMR_4066	ENSG00000160209
HMR_4067	ENSG00000108439
HMR_4068	ENSG00000160209
HMR_4069	ENSG00000108439
HMR_4070	ENSG00000108439
HMR_4071	ENSG00000108439
HMR_8102	ENSG00000138356
HMR_8724	ENSG00000144362 or ENSG00000241360
HMR_8725	ENSG00000144362 or ENSG00000241360
HMR_2114	
HMR_2115	ENSG00000186104
HMR_2117	ENSG00000130649 or ENSG00000135929
HMR_2118	ENSG00000081479 and ENSG00000107611 and ENSG00000111012 and ENSG00000145321
HMR_2129	ENSG00000119723 or ENSG00000130649 or ENSG00000145476
HMR_2130	ENSG00000119723 or ENSG00000130649 or ENSG00000145476
HMR_2131	ENSG00000119723 or ENSG00000130649 or ENSG00000145476
HMR_2132	ENSG00000119723 or ENSG00000130649 or ENSG00000145476
HMR_2133	ENSG00000119723 or ENSG00000130649 or ENSG00000145476
HMR_2134	ENSG00000119723 or ENSG00000130649 or ENSG00000145476
HMR_2135	ENSG00000119723 or ENSG00000130649 or ENSG00000145476
HMR_2136	ENSG00000119723 or ENSG00000130649 or ENSG00000145476
HMR_2137	ENSG00000019186
HMR_2138	ENSG00000019186
HMR_2139	ENSG00000019186
HMR_2140	ENSG00000019186
HMR_2142	ENSG00000119723 or ENSG00000130649 or ENSG00000145476
HMR_2143	ENSG00000119723 or ENSG00000130649 or ENSG00000145476
HMR_2144	ENSG00000119723 or ENSG00000130649 or ENSG00000145476
HMR_2145	ENSG00000119723 or ENSG00000130649 or ENSG00000145476
HMR_7996	ENSG00000135929
HMR_7999	ENSG00000019186
HMR_8003	
HMR_8004	ENSG00000081479 and ENSG00000107611 and ENSG00000111012 and ENSG00000145321
HMR_8005	
HMR_8006	
HMR_8008	ENSG00000081479 and ENSG00000107611 and ENSG00000111012 and ENSG00000145321
HMR_8011	
HMR_8012	
HMR_8013	
HMR_8014	
HMR_6423	
HMR_6426	ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529
HMR_6427	ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529
HMR_6428	ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529
HMR_6429	ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529
HMR_6432	ENSG00000060971 or ENSG00000072506 or ENSG00000084754 or ENSG00000087008 or ENSG00000097021 or ENSG00000101473 or ENSG00000119673 or ENSG00000127884 or ENSG00000130304 or ENSG00000133835 or ENSG00000136881 or ENSG00000138029 or ENSG00000138796 or ENSG00000140284 or ENSG00000143554 or ENSG00000157426 or ENSG00000161533 or ENSG00000167107 or ENSG00000167114 or ENSG00000167315 or ENSG00000176715 or ENSG00000177465 or ENSG00000184227 or ENSG00000242110
HMR_6433	ENSG00000060971 or ENSG00000072506 or ENSG00000084754 or ENSG00000087008 or ENSG00000097021 or ENSG00000101473 or ENSG00000104325 or ENSG00000119673 or ENSG00000127884 or ENSG00000130304 or ENSG00000133835 or ENSG00000136881 or ENSG00000138029 or ENSG00000138796 or ENSG00000140284 or ENSG00000143554 or ENSG00000157426 or ENSG00000161533 or ENSG00000167107 or ENSG00000167114 or ENSG00000167315 or ENSG00000167969 or ENSG00000176715 or ENSG00000177465 or ENSG00000184227 or ENSG00000198721 or ENSG00000242110 or ENSG00000242612
HMR_6434	
HMR_6435	ENSG00000060971 or ENSG00000072506 or ENSG00000084754 or ENSG00000087008 or ENSG00000097021 or ENSG00000101473 or ENSG00000104325 or ENSG00000119673 or ENSG00000127884 or ENSG00000130304 or ENSG00000133835 or ENSG00000136881 or ENSG00000138029 or ENSG00000138796 or ENSG00000140284 or ENSG00000143554 or ENSG00000157426 or ENSG00000161533 or ENSG00000167107 or ENSG00000167114 or ENSG00000167315 or ENSG00000167969 or ENSG00000176715 or ENSG00000177465 or ENSG00000184227 or ENSG00000198721 or ENSG00000242110 or ENSG00000242612
HMR_6436	ENSG00000060971 or ENSG00000072506 or ENSG00000084754 or ENSG00000087008 or ENSG00000097021 or ENSG00000101473 or ENSG00000119673 or ENSG00000127884 or ENSG00000130304 or ENSG00000133835 or ENSG00000136881 or ENSG00000138029 or ENSG00000138796 or ENSG00000140284 or ENSG00000143554 or ENSG00000157426 or ENSG00000161533 or ENSG00000167107 or ENSG00000167114 or ENSG00000167315 or ENSG00000176715 or ENSG00000177465 or ENSG00000184227 or ENSG00000242110
HMR_6441	ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529
HMR_6442	ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529
HMR_6443	ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529
HMR_6444	ENSG00000171903 or ENSG00000171954 or ENSG00000186115 or ENSG00000186526 or ENSG00000186529
HMR_6447	
