Rxn.name	Gene.reaction.association
HMR_3998	ENSG00000054179 or ENSG00000138185 or ENSG00000168032 or ENSG00000171302 or ENSG00000187097 or ENSG00000188833 or ENSG00000197217 or ENSG00000197586
HMR_4000	(ENSG00000061918 and ENSG00000164116) or ENSG00000070019 or ENSG00000078295 or ENSG00000101890 or ENSG00000121281 or ENSG00000129467 or ENSG00000132518 or ENSG00000138031 or ENSG00000143199 or ENSG00000152402 or ENSG00000155897 or ENSG00000159899 or ENSG00000162104 or ENSG00000164742 or ENSG00000169418 or ENSG00000173175 or ENSG00000174233
HMR_4002	ENSG00000004455 or ENSG00000085231 or ENSG00000106992 or ENSG00000140057 or ENSG00000147853 or ENSG00000154027 or ENSG00000155085 or ENSG00000162433 or ENSG00000165695 or ENSG00000273841
HMR_4004	ENSG00000004455 or ENSG00000085231 or ENSG00000106992 or ENSG00000140057 or ENSG00000147853 or ENSG00000154027 or ENSG00000155085 or ENSG00000162433 or ENSG00000165695 or ENSG00000273841
HMR_4010	ENSG00000014257 or ENSG00000076685 or ENSG00000116981 or ENSG00000122643 or ENSG00000125458 or ENSG00000135318 or ENSG00000141698 or ENSG00000146587 or ENSG00000185013 or ENSG00000205309 or ENSG00000250741
HMR_4081	ENSG00000014257 or ENSG00000076685 or ENSG00000116981 or ENSG00000122643 or ENSG00000125458 or ENSG00000135318 or ENSG00000141698 or ENSG00000146587 or ENSG00000185013 or ENSG00000205309 or ENSG00000250741
HMR_4082	ENSG00000014257 or ENSG00000076685 or ENSG00000116981 or ENSG00000122643 or ENSG00000125458 or ENSG00000135318 or ENSG00000141698 or ENSG00000146587 or ENSG00000185013 or ENSG00000205309 or ENSG00000250741
HMR_4012	ENSG00000156110 or ENSG00000156136
HMR_4014	ENSG00000065989 or ENSG00000073417 or ENSG00000095464 or ENSG00000105650 or ENSG00000112541 or ENSG00000113231 or ENSG00000113448 or ENSG00000115252 or ENSG00000123360 or ENSG00000128655 or ENSG00000132915 or ENSG00000133256 or ENSG00000137496 or ENSG00000138735 or ENSG00000139053 or ENSG00000152270 or ENSG00000154678 or ENSG00000156973 or ENSG00000160191 or ENSG00000171408 or ENSG00000172572 or ENSG00000184588 or ENSG00000185527 or ENSG00000186642 or ENSG00000205268
HMR_4020	ENSG00000143774
HMR_4022	(ENSG00000061918 and ENSG00000164116) or ENSG00000070019 or ENSG00000078295 or ENSG00000101890 or ENSG00000121281 or ENSG00000129467 or ENSG00000132518 or ENSG00000138031 or ENSG00000143199 or ENSG00000152402 or ENSG00000155897 or ENSG00000159899 or ENSG00000162104 or ENSG00000164742 or ENSG00000169418 or ENSG00000173175 or ENSG00000174233
HMR_4038	ENSG00000138363
HMR_4040	ENSG00000106348 or ENSG00000178035
HMR_4042	ENSG00000035687 or ENSG00000185100
HMR_4046	ENSG00000163655
HMR_4048	ENSG00000065989 or ENSG00000073417 or ENSG00000095464 or ENSG00000105650 or ENSG00000112541 or ENSG00000113231 or ENSG00000113448 or ENSG00000115252 or ENSG00000123360 or ENSG00000128655 or ENSG00000132915 or ENSG00000133256 or ENSG00000137496 or ENSG00000138735 or ENSG00000139053 or ENSG00000152270 or ENSG00000154678 or ENSG00000156973 or ENSG00000160191 or ENSG00000171408 or ENSG00000172572 or ENSG00000184588 or ENSG00000185527 or ENSG00000186642 or ENSG00000205268
HMR_4080	ENSG00000116337 or ENSG00000116748 or ENSG00000133805
HMR_4085	ENSG00000198931
HMR_4086	ENSG00000198931
HMR_4134	ENSG00000054179 or ENSG00000138185 or ENSG00000168032 or ENSG00000171302 or ENSG00000187097 or ENSG00000188833 or ENSG00000197217 or ENSG00000197586
HMR_4135	ENSG00000143774
HMR_4168	ENSG00000125877
HMR_4171	ENSG00000067225 or ENSG00000143627
HMR_4290	ENSG00000138185 or ENSG00000168032 or ENSG00000188833
HMR_4406	ENSG00000128059
HMR_4412	ENSG00000100354 or ENSG00000239900
HMR_4417	ENSG00000014257 or ENSG00000076685 or ENSG00000116981 or ENSG00000122643 or ENSG00000125458 or ENSG00000135318 or ENSG00000141698 or ENSG00000146587 or ENSG00000185013 or ENSG00000205309 or ENSG00000250741
HMR_4418	ENSG00000165704
HMR_4419	ENSG00000100938 or ENSG00000137198
HMR_4421	ENSG00000067225 or ENSG00000143627
HMR_4449	ENSG00000014257 or ENSG00000076685 or ENSG00000116981 or ENSG00000122643 or ENSG00000125458 or ENSG00000135318 or ENSG00000141698 or ENSG00000146587 or ENSG00000185013 or ENSG00000205309 or ENSG00000250741
HMR_4450	ENSG00000014257 or ENSG00000076685 or ENSG00000116981 or ENSG00000122643 or ENSG00000125458 or ENSG00000135318 or ENSG00000141698 or ENSG00000146587 or ENSG00000185013 or ENSG00000205309 or ENSG00000250741
HMR_4451	
HMR_4452	ENSG00000165704
HMR_4453	ENSG00000163655
HMR_4480	ENSG00000004455 or ENSG00000072778 or ENSG00000085231 or ENSG00000087008 or ENSG00000106992 or ENSG00000117054 or ENSG00000140057 or ENSG00000147853 or ENSG00000151498 or ENSG00000154027 or ENSG00000155085 or ENSG00000162433 or ENSG00000165695 or ENSG00000177646
HMR_4481	ENSG00000093072 or ENSG00000196839
HMR_4482	ENSG00000093072 or ENSG00000196839
HMR_4486	ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883
HMR_4487	ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883
HMR_4488	ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883
HMR_4489	ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883
HMR_4492	ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883
HMR_4493	ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883
